Year,hhi_norm,entropy_norm,entity,threshold,threshold_label
1993,0.1755128890278998,1.9001191917193065,Developer,2.0,>= 2 games
1994,0.17632568391386444,1.9008023672420904,Developer,2.0,>= 2 games
1995,0.1776599729114044,1.8853504560376269,Developer,2.0,>= 2 games
1996,0.1750571702107714,1.8973081511811531,Developer,2.0,>= 2 games
1997,0.17627212078620183,1.897801426652344,Developer,2.0,>= 2 games
1998,0.1791729169245744,1.8873988705919318,Developer,2.0,>= 2 games
1999,0.17372362534958533,1.9169919591924094,Developer,2.0,>= 2 games
2000,0.17129522646714718,1.9275522673175227,Developer,2.0,>= 2 games
2001,0.17912613252276685,1.8719876228520833,Developer,2.0,>= 2 games
2002,0.17426588839688317,1.8927706374781645,Developer,2.0,>= 2 games
2003,0.18804167827134924,1.8341755464678893,Developer,2.0,>= 2 games
2004,0.185606776451628,1.84465216856022,Developer,2.0,>= 2 games
2005,0.1865022521550021,1.8519654233957674,Developer,2.0,>= 2 games
2006,0.18152197274104737,1.868625311965685,Developer,2.0,>= 2 games
2007,0.18595048768779254,1.856732134372866,Developer,2.0,>= 2 games
2008,0.18943544140535812,1.8442945478516266,Developer,2.0,>= 2 games
2009,0.1913862619124532,1.8206590723449076,Developer,2.0,>= 2 games
2010,0.19368414292184669,1.8046445869948933,Developer,2.0,>= 2 games
2011,0.19634042651370623,1.7851144716709486,Developer,2.0,>= 2 games
2012,0.19690886300605606,1.7688003863839068,Developer,2.0,>= 2 games
2013,0.19351245786204496,1.7689046389365426,Developer,2.0,>= 2 games
2014,0.18589485662546956,1.8023580878750318,Developer,2.0,>= 2 games
2015,0.1853812338519717,1.8027439625455817,Developer,2.0,>= 2 games
2016,0.1819055155722684,1.8188750272434224,Developer,2.0,>= 2 games
2017,0.18069298766275327,1.8246421115462064,Developer,2.0,>= 2 games
2018,0.17269459051458755,1.8770315672900835,Developer,2.0,>= 2 games
2019,0.1598565187324393,1.949196390479379,Developer,2.0,>= 2 games
2020,0.16228295988875768,1.9182174315826572,Developer,2.0,>= 2 games
2021,0.15560033822852726,1.9542219064498758,Developer,2.0,>= 2 games
2022,0.1563506189456245,1.9514184086612838,Developer,2.0,>= 2 games
2023,0.1572281801646872,1.9337720981813398,Developer,2.0,>= 2 games
1990,0.16114279429670184,2.022736316770777,Developer,5.0,>= 5 games
1991,0.17264078279754155,2.0002763983817213,Developer,5.0,>= 5 games
1992,0.16756986794720113,1.9820576688720006,Developer,5.0,>= 5 games
1993,0.1599853968459159,2.001232177588231,Developer,5.0,>= 5 games
1994,0.16654142856017787,1.984692591582422,Developer,5.0,>= 5 games
1995,0.16149044497301737,1.9978161198210347,Developer,5.0,>= 5 games
1996,0.16258485421950994,1.9875156817552444,Developer,5.0,>= 5 games
1997,0.16886699099771332,1.9639606087502384,Developer,5.0,>= 5 games
1998,0.16797339552509166,1.9662984201195994,Developer,5.0,>= 5 games
1999,0.16205299939306317,2.002837275511186,Developer,5.0,>= 5 games
2000,0.1603540543497391,2.004038815564054,Developer,5.0,>= 5 games
2001,0.16751102768781834,1.9455237553604172,Developer,5.0,>= 5 games
2002,0.16164838521539102,1.9705996515421824,Developer,5.0,>= 5 games
2003,0.17545215544952378,1.9109131105661437,Developer,5.0,>= 5 games
2004,0.17085628747710824,1.9204601257947596,Developer,5.0,>= 5 games
2005,0.1760246062407641,1.917155594606663,Developer,5.0,>= 5 games
2006,0.17061666736583672,1.9476798552087284,Developer,5.0,>= 5 games
2007,0.17590890322153124,1.928212156952031,Developer,5.0,>= 5 games
2008,0.1758670021150695,1.9206727425008727,Developer,5.0,>= 5 games
2009,0.18153481488361736,1.8943246197142731,Developer,5.0,>= 5 games
2010,0.18525541493767417,1.866524045392408,Developer,5.0,>= 5 games
2011,0.19035945920306438,1.8373835848369324,Developer,5.0,>= 5 games
2012,0.18826489987093814,1.8318278809981334,Developer,5.0,>= 5 games
2013,0.18558952843276633,1.8225569414658127,Developer,5.0,>= 5 games
2014,0.17629201427171023,1.8673010283141216,Developer,5.0,>= 5 games
2015,0.17823859745556137,1.8654899465490282,Developer,5.0,>= 5 games
2016,0.1720225398455462,1.8985201033825854,Developer,5.0,>= 5 games
2017,0.17306534918983354,1.8931991414057703,Developer,5.0,>= 5 games
2018,0.16296134068129953,1.9594742466965533,Developer,5.0,>= 5 games
2019,0.15154513791265528,2.027839178814797,Developer,5.0,>= 5 games
2020,0.1588621365553578,1.9741489769107023,Developer,5.0,>= 5 games
2021,0.1520202838670775,2.0171833457209694,Developer,5.0,>= 5 games
2022,0.15559312696831173,1.9990034765761349,Developer,5.0,>= 5 games
2023,0.15497571774986996,1.9883701348028233,Developer,5.0,>= 5 games
1990,0.1523835603410551,2.1142982705295332,Developer,10.0,>= 10 games
1991,0.15545209373617372,2.118687608433118,Developer,10.0,>= 10 games
1992,0.15171266933546743,2.092275579592192,Developer,10.0,>= 10 games
1993,0.1441848716793847,2.1143778240976214,Developer,10.0,>= 10 games
1994,0.15756198075964845,2.071971776669541,Developer,10.0,>= 10 games
1995,0.14442903323603232,2.102921189811884,Developer,10.0,>= 10 games
1996,0.15031279484938598,2.0798349407974848,Developer,10.0,>= 10 games
1997,0.15992055686997306,2.044109093126033,Developer,10.0,>= 10 games
1998,0.1580503894320133,2.032429045188206,Developer,10.0,>= 10 games
1999,0.1561520940007897,2.0580437012469024,Developer,10.0,>= 10 games
2000,0.14414516901524066,2.108230936194683,Developer,10.0,>= 10 games
2001,0.1601598849940004,2.0063067056495156,Developer,10.0,>= 10 games
2002,0.15276598338783604,2.0429127816696546,Developer,10.0,>= 10 games
2003,0.16650151694550644,1.9670055102523223,Developer,10.0,>= 10 games
2004,0.16204849193236198,1.9733819833773651,Developer,10.0,>= 10 games
2005,0.16370912721626535,1.9903844869627574,Developer,10.0,>= 10 games
2006,0.15650870601081804,2.036187971879656,Developer,10.0,>= 10 games
2007,0.16596750016271025,1.9938986284139704,Developer,10.0,>= 10 games
2008,0.16817879040455805,1.9863387766105356,Developer,10.0,>= 10 games
2009,0.16964283908952046,1.9724338838205693,Developer,10.0,>= 10 games
2010,0.16896676023716567,1.9602632603527792,Developer,10.0,>= 10 games
2011,0.18217086263123983,1.8970767981297838,Developer,10.0,>= 10 games
2012,0.17601631540063065,1.911837422810953,Developer,10.0,>= 10 games
2013,0.17748310074451926,1.8920142127526318,Developer,10.0,>= 10 games
2014,0.16934844171424224,1.9268963398184207,Developer,10.0,>= 10 games
2015,0.17186787587440067,1.9285641045960324,Developer,10.0,>= 10 games
2016,0.1657281327604511,1.9601215017825206,Developer,10.0,>= 10 games
2017,0.16378845614009105,1.97336550222529,Developer,10.0,>= 10 games
2018,0.15737968337033714,2.0293162854491973,Developer,10.0,>= 10 games
2019,0.14665084871754,2.087302151824519,Developer,10.0,>= 10 games
2020,0.14960387517106594,2.059528034044815,Developer,10.0,>= 10 games
2021,0.1459117476155867,2.0823045210909235,Developer,10.0,>= 10 games
2022,0.15231405364000547,2.0597840008496284,Developer,10.0,>= 10 games
2023,0.154685946148077,2.0270452935650654,Developer,10.0,>= 10 games
1990,0.17867154898677914,2.0083027249923275,Publisher,,All
1991,0.18068149870569294,1.9922632989361937,Publisher,,All
1992,0.17363673058809653,1.9804471723333084,Publisher,,All
1993,0.17734765020838153,1.968844021340383,Publisher,,All
1994,0.18279604054757875,1.9383425043101303,Publisher,,All
1995,0.19161051325609954,1.9129564255088984,Publisher,,All
1996,0.1885518946756732,1.944375021890203,Publisher,,All
1997,0.1892857360798726,1.9491198839564028,Publisher,,All
1998,0.1887052316525419,1.9842059534497274,Publisher,,All
1999,0.17884796414903614,2.0185041362855896,Publisher,,All
2000,0.1860396522037901,1.9945601272351046,Publisher,,All
2001,0.1867670975127561,1.9970515240443232,Publisher,,All
2002,0.1775827198046612,2.028594936153625,Publisher,,All
2003,0.16800950251995217,2.041395417668506,Publisher,,All
2004,0.17851479213742164,2.0034032899405947,Publisher,,All
2005,0.1805801591992747,2.0016781282088854,Publisher,,All
2006,0.18204354964667904,2.006537325920133,Publisher,,All
2007,0.176159739105846,2.010421538402604,Publisher,,All
2008,0.18790145955501217,1.9309378750953505,Publisher,,All
2009,0.2060142381024115,1.844153942850304,Publisher,,All
2010,0.20791677944278183,1.814448857964105,Publisher,,All
2011,0.19991665109400625,1.8175743851743573,Publisher,,All
2012,0.2035827893384253,1.7931120904693394,Publisher,,All
2013,0.20342969772649294,1.783135363522721,Publisher,,All
2014,0.19371295265132069,1.8208243409278388,Publisher,,All
2015,0.1918278970327949,1.8129576662831606,Publisher,,All
2016,0.18616310345814308,1.8425529544878148,Publisher,,All
2017,0.18489400109170548,1.8386613356389474,Publisher,,All
2018,0.17806136969796174,1.880790121664488,Publisher,,All
2019,0.1618183602525567,1.9739542715699774,Publisher,,All
2020,0.16722138876717768,1.9322585685951883,Publisher,,All
2021,0.16329626853553428,1.9586767113650405,Publisher,,All
2022,0.16221886108872344,1.9647804155333357,Publisher,,All
2023,0.16018012098897944,1.9578798074999424,Publisher,,All
1990,0.16558714303195415,2.086439103270751,Publisher,2.0,>= 2 games
1991,0.1680667115255304,2.0724021800783965,Publisher,2.0,>= 2 games
1992,0.1628763974896209,2.05906091283684,Publisher,2.0,>= 2 games
1993,0.16315608847709187,2.061769349259658,Publisher,2.0,>= 2 games
1994,0.17081189519832596,2.031537577564651,Publisher,2.0,>= 2 games
1995,0.17327211348893237,2.0277278629608353,Publisher,2.0,>= 2 games
1996,0.1733179646758574,2.0432633562744313,Publisher,2.0,>= 2 games
1997,0.1790607378888706,2.031453964637,Publisher,2.0,>= 2 games
1998,0.17670943037150436,2.070545374946822,Publisher,2.0,>= 2 games
1999,0.1714516600069179,2.0888897902688037,Publisher,2.0,>= 2 games
2000,0.17412887814310077,2.08009715981886,Publisher,2.0,>= 2 games
2001,0.17161434063627076,2.0906172743625415,Publisher,2.0,>= 2 games
2002,0.1647657247679623,2.126911046574656,Publisher,2.0,>= 2 games
2003,0.15846589280840895,2.1230796359312714,Publisher,2.0,>= 2 games
2004,0.17029973017478553,2.074810086294803,Publisher,2.0,>= 2 games
2005,0.17125894686078766,2.0795128166252517,Publisher,2.0,>= 2 games
2006,0.171426515130187,2.092459720339584,Publisher,2.0,>= 2 games
